step,car_id,hazard_x,hazard_y,sender_id
1,0,7,7,
1,1,7,7,
1,2,7,7,
1,3,7,7,
3,0,4,2,
3,1,4,2,
3,3,4,2,
3,4,4,2,
9,5,3,5,
9,6,3,5,
9,8,3,5,
9,9,3,5,
9,10,3,5,
9,11,3,5,
9,13,3,5,
9,15,3,5,
9,16,3,5,
9,17,3,5,
9,18,3,5,
10,0,7,2,
10,1,7,2,
10,2,7,2,
10,4,7,2,
10,5,7,2,
10,6,7,2,
10,7,7,2,
10,8,7,2,
10,14,3,5,
10,16,7,2,
10,17,7,2,
10,18,7,2,
10,19,7,2,
17,15,0,1,
17,18,0,1,
17,19,0,1,
28,15,5,5,
28,16,5,5,
28,17,5,5,
39,0,8,7,
39,1,8,7,
39,2,8,7,
39,3,8,7,
39,10,8,7,
39,11,8,7,
39,12,8,7,
39,14,8,7,
44,10,5,0,
44,12,5,0,
44,13,5,0,
44,14,5,0,
50,0,7,0,
50,1,7,0,
50,4,7,0,
50,5,7,0,
50,7,7,0,
50,8,7,0,
50,9,7,0,
50,16,7,0,
50,17,7,0,
50,18,7,0,
50,19,7,0,
51,2,7,0,
55,0,7,1,
55,1,7,1,
55,4,7,1,
55,5,7,1,
55,7,7,1,
55,8,7,1,
55,9,7,1,
55,16,7,1,
55,17,7,1,
55,18,7,1,
55,19,7,1,
56,2,7,1,
56,10,9,8,
56,11,9,8,
56,12,9,8,
56,14,9,8,
76,0,4,8,
76,2,4,8,
76,3,4,8,
76,4,4,8,
78,0,6,9,
78,2,6,9,
78,3,6,9,
78,4,6,9,
85,0,6,1,
85,1,6,1,
85,2,6,1,
85,4,6,1,
85,5,6,1,
85,7,6,1,
85,8,6,1,
85,9,6,1,
89,6,8,4,
89,7,8,4,
89,8,8,4,
90,5,8,4,
106,10,4,5,
106,11,4,5,
106,13,4,5,
106,14,4,5,
106,15,4,5,
106,16,4,5,
106,17,4,5,
106,18,4,5,
118,0,3,0,
118,1,3,0,
118,3,3,0,
118,4,3,0,
118,10,3,0,
118,12,3,0,
118,13,3,0,
118,14,3,0,
125,5,7,3,
125,6,7,3,
125,7,7,3,
125,8,7,3,
127,0,9,6,
127,1,9,6,
127,2,9,6,
127,3,9,6,
127,10,9,6,
127,11,9,6,
127,12,9,6,
127,14,9,6,
145,1,1,6,
145,2,1,6,
145,3,1,6,
145,4,1,6,
145,9,1,6,
146,6,1,6,
147,5,6,4,
147,6,6,4,
147,7,6,4,
147,8,6,4,
147,15,6,4,
147,16,6,4,
147,17,6,4,
147,19,6,4,
148,11,1,3,
148,12,1,3,
148,13,1,3,
154,0,8,1,
154,1,8,1,
154,2,8,1,
154,4,8,1,
154,5,8,1,
154,7,8,1,
154,8,8,1,
154,9,8,1,
154,16,8,1,
154,17,8,1,
154,18,8,1,
154,19,8,1,
163,5,1,4,
163,6,1,4,
163,8,1,4,
163,9,1,4,
163,11,1,4,
163,12,1,4,
163,13,1,4,
169,1,1,7,
169,3,1,7,
169,4,1,7,
169,6,1,7,
169,7,1,7,
169,9,1,7,
170,2,1,7,
187,0,6,2,
187,1,6,2,
187,2,6,2,
187,4,6,2,
187,5,6,2,
187,6,6,2,
187,8,6,2,
188,7,6,2,
193,1,1,8,
193,2,1,8,
193,3,1,8,
193,4,1,8,
193,6,1,8,
193,7,1,8,
193,8,1,8,
193,9,1,8,
210,1,2,8,
210,2,2,8,
210,3,2,8,
210,4,2,8,
226,0,3,2,
226,1,3,2,
226,3,3,2,
226,4,3,2,
254,0,6,0,
254,1,6,0,
254,2,6,0,
254,4,6,0,
254,5,6,0,
254,7,6,0,
254,8,6,0,
254,9,6,0,
263,5,2,5,
263,6,2,5,
263,9,2,5,
263,10,2,5,
263,13,2,5,
263,14,2,5,
264,11,2,5,
276,10,4,6,
276,11,4,6,
276,13,4,6,
276,14,4,6,
276,15,4,6,
276,18,4,6,
277,16,4,6,
277,17,4,6,
283,0,9,5,
283,1,9,5,
283,2,9,5,
283,3,9,5,
292,5,0,5,
292,6,0,5,
292,7,0,5,
292,9,0,5,
292,11,0,5,
292,12,0,5,
292,13,0,5,
292,14,0,5,
293,0,8,6,
293,1,8,6,
293,2,8,6,
293,3,8,6,
293,10,8,6,
293,11,8,6,
293,12,8,6,
293,14,8,6,
295,0,8,0,
295,1,8,0,
295,2,8,0,
295,4,8,0,
295,5,8,0,
295,7,8,0,
295,8,8,0,
295,9,8,0,
295,16,8,0,
295,17,8,0,
295,18,8,0,
295,19,8,0,
298,6,2,4,
298,8,2,4,
299,5,2,4,
299,9,2,4,
313,0,4,1,
313,1,4,1,
313,3,4,1,
313,4,4,1,
313,10,4,1,
313,12,4,1,
313,13,4,1,
313,14,4,1,
316,0,4,9,
316,2,4,9,
316,3,4,9,
316,4,4,9,
321,12,5,1,
321,13,5,1,
321,14,5,1,
323,0,8,5,
323,1,8,5,
323,2,8,5,
323,10,5,1,
324,3,8,5,
331,11,0,3,
331,12,0,3,
331,13,0,3,
346,0,3,1,
346,4,3,1,
346,10,3,1,
346,14,3,1,
347,1,3,1,
347,3,3,1,
347,12,3,1,
347,13,3,1,
364,11,0,4,
364,12,0,4,
364,13,0,4,
365,15,5,4,
365,16,5,4,
365,17,5,4,
365,19,5,4,
383,0,7,6,
383,1,7,6,
383,2,7,6,
383,3,7,6,
383,15,7,6,
383,16,7,6,
383,17,7,6,
383,19,7,6,
384,0,2,2,
384,1,2,2,
384,3,2,2,
385,4,2,2,
395,0,5,9,
395,2,5,9,
395,3,5,9,
395,4,5,9,
425,16,6,5,
425,17,6,5,
425,19,6,5,
426,1,2,6,
426,2,2,6,
426,3,2,6,
426,4,2,6,
426,5,2,6,
426,6,2,6,
426,9,2,6,
426,10,2,6,
426,11,2,6,
426,13,2,6,
426,15,6,5,
427,14,2,6,
444,10,0,2,
444,11,0,2,
444,12,0,2,
444,13,0,2,
444,15,0,2,
444,17,0,2,
444,18,0,2,
444,19,0,2,
477,16,9,1,
477,17,9,1,
477,18,9,1,
478,19,9,1,
495,5,3,4,
495,6,3,4,
495,8,3,4,
495,9,3,4,
497,10,3,7,
497,11,3,7,
497,13,3,7,
497,14,3,7,
497,15,3,7,
497,16,3,7,
497,17,3,7,
497,18,3,7,
