step,car_id,hazard_x,hazard_y,confidence
1,0,7,7,0.75
3,0,4,2,0.8
6,1,6,7,0.88
9,0,3,5,0.72
10,0,7,2,0.94
16,0,2,3,0.97
17,0,0,1,0.87
28,0,5,5,0.77
33,1,9,3,0.98
39,0,8,7,0.83
44,1,5,0,0.97
50,2,7,0,0.86
55,0,7,1,0.91
56,2,9,8,0.96
64,1,5,3,0.86
76,0,4,8,0.78
78,0,6,9,0.8
85,0,6,1,0.72
89,0,8,4,0.78
106,2,4,5,0.87
111,0,0,9,0.95
118,0,3,0,0.87
125,0,7,3,0.81
127,0,9,6,0.84
141,1,8,9,0.76
145,1,1,6,0.76
147,0,6,4,0.87
148,1,1,3,0.88
154,0,8,1,0.75
163,0,1,4,0.81
169,0,1,7,0.76
186,0,3,9,0.82
187,2,6,2,0.96
189,1,9,4,0.79
193,0,1,8,0.76
208,1,3,8,0.71
210,0,2,8,0.85
226,0,3,2,0.75
254,3,6,0,0.81
258,0,4,3,0.94
263,0,2,5,0.99
276,2,4,6,0.81
283,0,9,5,0.82
292,0,0,5,0.94
293,1,8,6,0.96
295,0,8,0,0.92
298,0,2,4,0.83
313,1,4,1,0.77
316,0,4,9,0.75
321,1,5,1,0.95
323,0,8,5,0.98
331,0,0,3,0.96
346,0,3,1,0.94
364,1,0,4,0.92
365,0,5,4,0.77
377,1,1,9,0.82
383,0,7,6,0.76
384,0,2,2,0.71
395,0,5,9,0.71
425,1,6,5,0.81
426,1,2,6,0.73
437,0,9,9,0.92
444,0,0,2,0.85
475,0,3,3,0.98
477,1,9,1,0.86
495,0,3,4,0.8
497,0,3,7,0.78
