step,car_id,x,y
5,3,8,1
5,6,8,1
13,17,8,8
13,18,8,8
14,0,3,4
14,1,3,4
16,8,4,0
32,2,4,6
32,9,4,6
32,12,4,6
36,10,6,3
36,11,6,3
39,7,7,0
56,0,1,5
61,5,0,9
61,13,0,9
61,19,0,9
65,14,0,2
66,8,3,0
80,1,4,3
80,10,4,3
80,15,4,3
90,6,8,2
90,11,8,2
98,1,5,4
98,10,5,4
98,12,5,4
111,6,9,2
118,5,0,8
118,13,0,8
118,19,0,8
133,4,9,5
136,11,8,3
138,5,1,7
138,13,1,7
138,19,1,7
141,11,7,2
150,5,1,8
150,13,1,8
150,19,1,8
152,5,1,9
152,13,1,9
152,19,1,9
154,14,1,1
154,16,1,1
156,16,1,0
162,3,8,0
162,6,8,0
196,11,8,4
205,0,2,6
213,3,9,0
213,6,9,0
232,1,3,3
232,15,3,3
259,14,1,2
260,14,0,3
268,0,3,5
268,2,3,5
268,9,3,5
278,1,5,3
278,10,5,3
287,17,9,8
287,18,9,8
295,2,5,7
295,9,5,7
311,18,7,9
315,17,9,9
315,18,9,9
324,2,4,7
324,9,4,7
325,12,6,6
339,4,9,7
340,1,5,2
340,8,5,2
354,5,2,8
354,13,2,8
356,0,1,6
358,8,3,1
358,15,3,1
366,4,8,5
380,10,6,5
380,12,6,5
421,0,3,6
421,2,3,6
421,9,3,6
437,7,6,1
442,0,2,5
457,4,8,6
461,14,1,3
472,7,7,1
478,7,6,0
479,14,2,1
479,15,2,1
483,3,9,1
483,6,9,1
