step,car_id,hazard_x,hazard_y,sender_id
5,0,8,1,
5,1,8,1,
5,2,8,1,
5,4,8,1,
5,5,8,1,
5,7,8,1,
5,8,8,1,
5,9,8,1,
5,12,8,1,
5,13,8,1,
5,14,8,1,
5,15,8,1,
5,16,8,1,
5,17,8,1,
6,10,8,1,
6,11,8,1,
6,18,8,1,
6,19,8,1,
13,0,8,8,
13,1,8,8,
13,2,8,8,
13,3,8,8,
13,5,8,8,
13,6,8,8,
13,7,8,8,
13,8,8,8,
13,9,8,8,
13,10,8,8,
13,12,8,8,
13,13,8,8,
13,14,8,8,
13,19,8,8,
14,2,3,4,
14,3,3,4,
14,4,3,4,
14,5,3,4,
14,6,3,4,
14,7,3,4,
14,8,3,4,
14,9,3,4,
14,11,8,8,
14,11,3,4,
14,12,3,4,
14,13,3,4,
14,14,3,4,
14,15,8,8,
14,15,3,4,
14,16,3,4,
14,18,3,4,
14,19,3,4,
15,4,8,8,
15,10,3,4,
15,16,8,8,
15,17,3,4,
16,0,4,0,
16,1,4,0,
16,3,4,0,
16,4,4,0,
16,5,4,0,
16,9,4,0,
16,10,4,0,
16,11,4,0,
16,12,4,0,
16,13,4,0,
16,14,4,0,
16,15,4,0,
16,16,4,0,
16,17,4,0,
17,2,4,0,
17,6,4,0,
17,7,4,0,
17,18,4,0,
17,19,4,0,
32,0,4,6,
32,1,4,6,
32,3,4,6,
32,4,4,6,
32,5,4,6,
32,6,4,6,
32,7,4,6,
32,8,4,6,
32,10,4,6,
32,11,4,6,
32,14,4,6,
32,15,4,6,
32,16,4,6,
32,17,4,6,
32,18,4,6,
32,19,4,6,
33,13,4,6,
36,0,6,3,
36,1,6,3,
36,2,6,3,
36,3,6,3,
36,4,6,3,
36,5,6,3,
36,6,6,3,
36,7,6,3,
36,8,6,3,
36,9,6,3,
36,12,6,3,
36,13,6,3,
36,14,6,3,
36,15,6,3,
36,16,6,3,
36,18,6,3,
36,19,6,3,
37,17,6,3,
39,0,7,0,
39,1,7,0,
39,2,7,0,
39,3,7,0,
39,5,7,0,
39,8,7,0,
39,9,7,0,
39,10,7,0,
39,12,7,0,
39,13,7,0,
39,14,7,0,
39,15,7,0,
39,16,7,0,
39,17,7,0,
39,18,7,0,
39,19,7,0,
40,4,7,0,
40,6,7,0,
40,11,7,0,
56,1,1,5,
56,2,1,5,
56,3,1,5,
56,4,1,5,
56,5,1,5,
56,6,1,5,
56,7,1,5,
56,8,1,5,
56,9,1,5,
56,10,1,5,
56,11,1,5,
56,12,1,5,
56,13,1,5,
56,14,1,5,
56,16,1,5,
56,17,1,5,
56,18,1,5,
56,19,1,5,
57,15,1,5,
61,0,0,9,
61,1,0,9,
61,2,0,9,
61,3,0,9,
61,4,0,9,
61,6,0,9,
61,8,0,9,
61,11,0,9,
61,12,0,9,
61,14,0,9,
61,15,0,9,
61,16,0,9,
61,17,0,9,
61,18,0,9,
62,7,0,9,
62,9,0,9,
62,10,0,9,
65,1,0,2,
65,2,0,2,
65,4,0,2,
65,5,0,2,
65,6,0,2,
65,8,0,2,
65,10,0,2,
65,12,0,2,
65,13,0,2,
65,15,0,2,
65,16,0,2,
65,17,0,2,
66,0,0,2,
66,0,3,0,
66,1,3,0,
66,2,3,0,
66,3,0,2,
66,3,3,0,
66,4,3,0,
66,7,0,2,
66,7,3,0,
66,10,3,0,
66,11,3,0,
66,14,3,0,
66,15,3,0,
66,16,3,0,
66,17,3,0,
66,18,0,2,
66,18,3,0,
66,19,0,2,
66,19,3,0,
67,6,3,0,
67,9,3,0,
67,11,0,2,
67,12,3,0,
67,13,3,0,
68,5,3,0,
68,9,0,2,
80,0,4,3,
80,2,4,3,
80,3,4,3,
80,6,4,3,
80,8,4,3,
80,11,4,3,
80,12,4,3,
80,13,4,3,
80,14,4,3,
80,17,4,3,
81,5,4,3,
81,9,4,3,
81,16,4,3,
81,18,4,3,
81,19,4,3,
82,4,4,3,
82,7,4,3,
90,0,8,2,
90,1,8,2,
90,2,8,2,
90,5,8,2,
90,7,8,2,
90,8,8,2,
90,9,8,2,
90,10,8,2,
90,12,8,2,
90,13,8,2,
90,14,8,2,
90,15,8,2,
90,16,8,2,
90,17,8,2,
90,18,8,2,
90,19,8,2,
91,3,8,2,
91,4,8,2,
98,0,5,4,
98,2,5,4,
98,3,5,4,
98,4,5,4,
98,5,5,4,
98,6,5,4,
98,7,5,4,
98,8,5,4,
98,9,5,4,
98,11,5,4,
98,13,5,4,
98,14,5,4,
98,15,5,4,
98,16,5,4,
98,17,5,4,
99,18,5,4,
99,19,5,4,
111,0,9,2,
111,1,9,2,
111,2,9,2,
111,4,9,2,
111,7,9,2,
111,9,9,2,
111,10,9,2,
111,11,9,2,
111,12,9,2,
111,13,9,2,
111,14,9,2,
111,15,9,2,
111,16,9,2,
111,17,9,2,
111,18,9,2,
111,19,9,2,
112,3,9,2,
112,5,9,2,
112,8,9,2,
118,0,0,8,
118,1,0,8,
118,2,0,8,
118,3,0,8,
118,4,0,8,
118,7,0,8,
118,8,0,8,
118,9,0,8,
118,10,0,8,
118,11,0,8,
118,12,0,8,
118,14,0,8,
118,15,0,8,
118,16,0,8,
118,18,0,8,
119,6,0,8,
119,17,0,8,
133,0,9,5,
133,1,9,5,
133,3,9,5,
133,5,9,5,
133,6,9,5,
133,7,9,5,
133,8,9,5,
133,10,9,5,
133,11,9,5,
133,12,9,5,
133,13,9,5,
