step,car_id,hazard_x,hazard_y,confidence
5,3,8,1,0.8585786437626906
13,17,8,8,0.8585786437626906
14,0,3,4,0.8585786437626906
16,7,4,0,0.8
19,2,3,8,0.7763932022500211
32,2,4,6,1.0
33,4,9,4,0.8
36,8,6,3,0.717157287525381
39,3,7,0,0.8
56,0,1,5,0.9
61,5,0,9,0.8585786437626906
65,14,0,2,0.9
66,8,3,0,0.8585786437626906
80,0,4,3,0.717157287525381
90,3,8,2,0.7763932022500211
98,1,5,4,0.8585786437626906
103,0,0,6,0.7763932022500211
111,3,9,2,0.8
118,5,0,8,0.9
133,4,9,5,0.9
136,6,8,3,0.7763932022500211
138,0,1,7,0.7763932022500211
141,3,7,2,0.717157287525381
150,5,1,8,1.0
152,5,1,9,0.9
154,14,1,1,0.9
156,15,1,0,0.717157287525381
162,3,8,0,0.9
196,4,8,4,0.7763932022500211
205,0,2,6,0.9
213,3,9,0,1.0
232,1,3,3,0.9
259,14,1,2,1.0
260,14,0,3,0.8585786437626906
268,0,3,5,0.9
278,1,5,3,0.9
287,4,9,8,0.8
295,2,5,7,0.8585786437626906
300,2,4,8,0.8
311,17,7,9,0.8
315,17,9,9,1.0
320,6,9,3,0.8
324,0,4,7,0.717157287525381
325,2,6,6,0.8
339,4,9,7,0.9
340,7,5,2,0.7763932022500211
347,4,7,6,0.8
354,2,2,8,0.717157287525381
356,0,1,6,0.8585786437626906
358,1,3,1,0.7763932022500211
366,4,8,5,0.8585786437626906
380,1,6,5,0.717157287525381
421,0,3,6,0.8585786437626906
437,1,6,1,0.717157287525381
442,0,2,5,1.0
458,4,8,6,0.9
461,0,1,3,0.7763932022500211
472,3,7,1,0.7763932022500211
478,7,6,0,1.0
479,1,2,1,0.717157287525381
483,3,9,1,0.9
