step,car_id,x,y
2,16,9,3
18,13,4,1
18,18,4,1
23,12,9,8
24,3,0,6
24,7,0,6
24,10,0,6
38,1,2,6
38,2,2,6
38,3,2,6
38,7,2,6
43,11,1,0
44,18,5,2
65,15,9,4
65,16,9,4
68,11,2,0
85,15,9,5
85,16,9,5
91,15,9,6
101,4,1,4
101,5,1,4
101,9,1,4
101,10,1,4
113,12,8,9
114,0,5,8
114,14,5,8
114,17,5,8
117,14,6,9
127,3,0,7
127,7,0,7
129,4,0,4
129,10,0,4
130,1,1,7
130,2,1,7
130,3,1,7
130,7,1,7
135,13,5,1
135,18,5,1
140,11,1,1
172,3,0,8
172,8,0,8
176,2,3,5
176,5,3,5
176,9,3,5
185,12,7,8
188,1,2,8
188,3,2,8
188,8,2,8
195,6,4,2
195,18,4,2
195,19,4,2
199,12,7,9
221,4,1,3
221,5,1,3
221,9,1,3
228,5,3,4
228,6,3,4
228,9,3,4
228,19,3,4
229,12,8,8
244,16,8,3
286,0,3,8
286,1,3,8
286,17,3,8
293,0,4,8
293,14,4,8
293,17,4,8
296,0,5,7
296,17,5,7
303,6,2,2
303,19,2,2
311,0,4,9
311,14,4,9
312,5,3,3
312,6,3,3
312,9,3,3
312,19,3,3
326,7,0,5
326,10,0,5
338,4,0,2
361,8,0,9
381,12,9,9
383,13,4,0
383,18,4,0
406,0,5,9
406,14,5,9
416,5,2,3
416,6,2,3
416,9,2,3
416,19,2,3
421,1,1,6
421,2,1,6
421,3,1,6
421,7,1,6
421,10,1,6
441,1,2,7
441,2,2,7
441,3,2,7
441,7,2,7
476,6,3,2
476,18,3,2
476,19,3,2
487,2,1,5
487,5,1,5
487,7,1,5
487,9,1,5
487,10,1,5
