step,car_id,hazard_x,hazard_y,sender_id
2,0,9,3,
2,1,9,3,
2,2,9,3,
2,3,9,3,
2,4,9,3,
2,5,9,3,
2,6,9,3,
2,7,9,3,
2,8,9,3,
2,9,9,3,
2,10,9,3,
2,11,9,3,
2,12,9,3,
2,13,9,3,
2,14,9,3,
2,15,9,3,
2,18,9,3,
2,19,9,3,
3,17,9,3,
18,0,4,1,
18,1,4,1,
18,2,4,1,
18,3,4,1,
18,4,4,1,
18,5,4,1,
18,6,4,1,
18,7,4,1,
18,8,4,1,
18,9,4,1,
18,10,4,1,
18,11,4,1,
18,12,4,1,
18,14,4,1,
18,15,4,1,
18,16,4,1,
18,17,4,1,
18,19,4,1,
23,0,9,8,
23,1,9,8,
23,2,9,8,
23,3,9,8,
23,4,9,8,
23,5,9,8,
23,6,9,8,
23,8,9,8,
23,9,9,8,
23,10,9,8,
23,11,9,8,
23,13,9,8,
23,14,9,8,
23,15,9,8,
23,16,9,8,
23,17,9,8,
23,18,9,8,
23,19,9,8,
24,0,0,6,
24,1,0,6,
24,2,0,6,
24,4,0,6,
24,5,0,6,
24,6,0,6,
24,7,9,8,
24,8,0,6,
24,9,0,6,
24,11,0,6,
24,12,0,6,
24,14,0,6,
24,15,0,6,
24,16,0,6,
24,17,0,6,
24,18,0,6,
24,19,0,6,
25,13,0,6,
38,0,2,6,
38,4,2,6,
38,5,2,6,
38,6,2,6,
38,8,2,6,
38,10,2,6,
38,11,2,6,
38,12,2,6,
38,14,2,6,
38,15,2,6,
38,16,2,6,
38,17,2,6,
38,18,2,6,
38,19,2,6,
39,9,2,6,
39,13,2,6,
43,0,1,0,
43,1,1,0,
43,2,1,0,
43,3,1,0,
43,4,1,0,
43,5,1,0,
43,6,1,0,
43,7,1,0,
43,8,1,0,
43,9,1,0,
43,10,1,0,
43,12,1,0,
43,13,1,0,
43,14,1,0,
43,15,1,0,
43,16,1,0,
43,17,1,0,
43,18,1,0,
43,19,1,0,
44,0,5,2,
44,1,5,2,
44,2,5,2,
44,3,5,2,
44,4,5,2,
44,5,5,2,
44,6,5,2,
44,7,5,2,
44,8,5,2,
44,9,5,2,
44,10,5,2,
44,11,5,2,
44,12,5,2,
44,13,5,2,
44,14,5,2,
44,15,5,2,
44,16,5,2,
44,17,5,2,
45,19,5,2,
65,0,9,4,
65,1,9,4,
65,2,9,4,
65,3,9,4,
65,4,9,4,
65,5,9,4,
65,6,9,4,
65,7,9,4,
65,8,9,4,
65,9,9,4,
65,10,9,4,
65,11,9,4,
65,12,9,4,
65,13,9,4,
65,14,9,4,
65,17,9,4,
65,18,9,4,
65,19,9,4,
68,0,2,0,
68,1,2,0,
68,2,2,0,
68,3,2,0,
68,4,2,0,
68,5,2,0,
68,6,2,0,
68,7,2,0,
68,8,2,0,
68,9,2,0,
68,12,2,0,
68,13,2,0,
68,14,2,0,
68,15,2,0,
68,16,2,0,
68,17,2,0,
68,18,2,0,
68,19,2,0,
69,10,2,0,
85,2,9,5,
85,3,9,5,
85,4,9,5,
85,5,9,5,
85,6,9,5,
85,7,9,5,
85,8,9,5,
85,9,9,5,
85,10,9,5,
85,11,9,5,
85,12,9,5,
85,13,9,5,
85,14,9,5,
85,18,9,5,
85,19,9,5,
86,0,9,5,
86,17,9,5,
87,1,9,5,
91,0,9,6,
91,1,9,6,
91,2,9,6,
91,3,9,6,
91,4,9,6,
91,5,9,6,
91,6,9,6,
91,8,9,6,
91,9,9,6,
91,10,9,6,
91,11,9,6,
91,12,9,6,
91,13,9,6,
91,14,9,6,
91,16,9,6,
91,17,9,6,
91,18,9,6,
91,19,9,6,
92,7,9,6,
101,0,1,4,
101,1,1,4,
101,2,1,4,
101,3,1,4,
101,6,1,4,
101,7,1,4,
101,8,1,4,
101,11,1,4,
101,12,1,4,
101,13,1,4,
101,14,1,4,
101,15,1,4,
101,16,1,4,
101,17,1,4,
101,18,1,4,
102,19,1,4,
113,1,8,9,
113,2,8,9,
113,3,8,9,
113,4,8,9,
113,5,8,9,
113,6,8,9,
113,7,8,9,
113,8,8,9,
113,9,8,9,
113,10,8,9,
113,11,8,9,
113,13,8,9,
113,14,8,9,
113,15,8,9,
113,16,8,9,
113,17,8,9,
113,18,8,9,
113,19,8,9,
114,0,8,9,
114,1,5,8,
114,2,5,8,
114,3,5,8,
114,4,5,8,
114,5,5,8,
114,6,5,8,
114,7,5,8,
114,8,5,8,
114,9,5,8,
114,10,5,8,
114,11,5,8,
114,12,5,8,
114,13,5,8,
114,15,5,8,
114,16,5,8,
114,18,5,8,
114,19,5,8,
117,0,6,9,
117,1,6,9,
117,2,6,9,
117,3,6,9,
117,4,6,9,
117,6,6,9,
117,7,6,9,
117,8,6,9,
117,9,6,9,
117,10,6,9,
117,11,6,9,
117,12,6,9,
117,13,6,9,
117,15,6,9,
117,16,6,9,
117,17,6,9,
117,18,6,9,
117,19,6,9,
118,5,6,9,
127,0,0,7,
127,1,0,7,
127,2,0,7,
127,4,0,7,
127,6,0,7,
127,8,0,7,
127,9,0,7,
127,10,0,7,
127,11,0,7,
127,13,0,7,
127,14,0,7,
127,15,0,7,
127,16,0,7,
127,17,0,7,
127,18,0,7,
127,19,0,7,
128,5,0,7,
128,12,0,7,
129,0,0,4,
129,1,0,4,
129,3,0,4,
129,5,0,4,
129,6,0,4,
129,7,0,4,
129,8,0,4,
129,9,0,4,
129,11,0,4,
129,12,0,4,
129,13,0,4,
129,14,0,4,
129,15,0,4,
129,16,0,4,
129,17,0,4,
129,18,0,4,
129,19,0,4,
130,0,1,7,
130,2,0,4,
130,4,1,7,
130,5,1,7,
130,6,1,7,
130,8,1,7,
130,9,1,7,
130,10,1,7,
130,11,1,7,
130,12,1,7,
130,13,1,7,
130,14,1,7,
130,15,1,7,
130,16,1,7,
130,17,1,7,
130,19,1,7,
131,18,1,7,
135,0,5,1,
135,1,5,1,
135,3,5,1,
135,4,5,1,
135,5,5,1,
135,6,5,1,
135,7,5,1,
135,8,5,1,
135,9,5,1,
135,10,5,1,
135,11,5,1,
135,12,5,1,
135,14,5,1,
135,15,5,1,
135,16,5,1,
135,17,5,1,
135,19,5,1,
136,2,5,1,
140,0,1,1,
140,1,1,1,
140,2,1,1,
140,3,1,1,
140,4,1,1,
140,5,1,1,
140,6,1,1,
140,7,1,1,
140,8,1,1,
140,9,1,1,
140,10,1,1,
140,12,1,1,
140,14,1,1,
140,15,1,1,
140,16,1,1,
140,17,1,1,
140,18,1,1,
140,19,1,1,
142,13,1,1,
172,0,0,8,
172,1,0,8,
172,2,0,8,
172,4,0,8,
172,5,0,8,
172,7,0,8,
172,9,0,8,
172,10,0,8,
172,11,0,8,
172,12,0,8,
172,14,0,8,
172,15,0,8,
172,16,0,8,
172,17,0,8,
172,18,0,8,
172,19,0,8,
174,6,0,8,
174,13,0,8,
176,0,3,5,
176,1,3,5,
176,3,3,5,
176,4,3,5,
176,7,3,5,
176,8,3,5,
176,10,3,5,
176,11,3,5,
176,12,3,5,
176,13,3,5,
176,14,3,5,
176,15,3,5,
176,16,3,5,
176,17,3,5,
176,18,3,5,
176,19,3,5,
177,6,3,5,
185,1,7,8,
185,2,7,8,
185,3,7,8,
185,4,7,8,
185,5,7,8,
185,6,7,8,
185,7,7,8,
185,8,7,8,
185,9,7,8,
185,10,7,8,
185,11,7,8,
185,13,7,8,
185,14,7,8,
185,15,7,8,
185,16,7,8,
185,17,7,8,
185,18,7,8,
185,19,7,8,
186,0,7,8,
188,0,2,8,
188,2,2,8,
188,4,2,8,
188,5,2,8,
188,6,2,8,
188,7,2,8,
188,9,2,8,
188,10,2,8,
188,11,2,8,
188,12,2,8,
188,13,2,8,
188,14,2,8,
188,15,2,8,
188,16,2,8,
188,17,2,8,
188,18,2,8,
188,19,2,8,
195,0,4,2,
195,1,4,2,
195,2,4,2,
195,3,4,2,
195,4,4,2,
195,5,4,2,
195,7,4,2,
195,8,4,2,
195,9,4,2,
195,10,4,2,
195,11,4,2,
195,12,4,2,
195,13,4,2,
195,14,4,2,
195,15,4,2,
195,17,4,2,
196,16,4,2,
199,0,7,9,
199,1,7,9,
199,2,7,9,
199,3,7,9,
199,4,7,9,
199,5,7,9,
199,6,7,9,
199,7,7,9,
199,8,7,9,
199,9,7,9,
199,10,7,9,
199,11,7,9,
199,13,7,9,
199,14,7,9,
199,15,7,9,
199,16,7,9,
199,17,7,9,
199,18,7,9,
199,19,7,9,
221,0,1,3,
221,1,1,3,
221,2,1,3,
221,3,1,3,
221,6,1,3,
221,7,1,3,
221,8,1,3,
221,10,1,3,
221,11,1,3,
221,12,1,3,
221,13,1,3,
221,14,1,3,
221,15,1,3,
221,16,1,3,
221,17,1,3,
221,18,1,3,
221,19,1,3,
228,0,3,4,
228,1,3,4,
228,2,3,4,
228,3,3,4,
228,7,3,4,
228,8,3,4,
228,10,3,4,
228,11,3,4,
228,12,3,4,
228,14,3,4,
228,15,3,4,
228,16,3,4,
228,17,3,4,
228,18,3,4,
229,1,8,8,
229,2,8,8,
229,4,3,4,
229,4,8,8,
229,5,8,8,
229,6,8,8,
229,8,8,8,
229,9,8,8,
229,10,8,8,
229,11,8,8,
229,13,3,4,
229,13,8,8,
229,15,8,8,
229,16,8,8,
229,17,8,8,
229,18,8,8,
229,19,8,8,
230,0,8,8,
230,3,8,8,
230,7,8,8,
230,14,8,8,
244,0,8,3,
244,1,8,3,
244,2,8,3,
244,3,8,3,
244,4,8,3,
244,5,8,3,
