step,car_id,hazard_x,hazard_y,confidence
2,0,9,3,0.68
7,0,6,3,0.68
15,0,6,4,0.95
18,0,4,1,0.81
20,2,7,5,0.63
23,0,9,8,0.98
24,0,0,6,0.67
38,0,2,6,0.64
43,0,1,0,0.85
44,0,5,2,0.66
53,0,7,0,0.74
65,0,9,4,0.72
68,0,2,0,0.75
83,0,6,7,0.67
85,0,9,5,0.78
91,1,9,6,0.69
98,0,8,0,0.68
101,0,1,4,0.97
113,0,8,9,0.72
114,0,5,8,0.74
117,0,6,9,0.61
127,1,0,7,0.79
129,0,0,4,0.61
130,0,1,7,0.89
135,0,5,1,0.69
140,0,1,1,0.81
172,1,0,8,0.73
176,0,3,5,0.87
184,0,5,4,0.61
185,1,7,8,0.78
188,0,2,8,0.98
195,0,4,2,0.74
199,0,7,9,0.96
221,0,1,3,0.85
228,0,3,4,0.86
229,0,8,8,0.83
244,0,8,3,0.75
248,0,7,7,0.67
250,0,7,4,0.89
251,0,7,2,0.8
255,1,6,0,0.63
265,0,7,3,0.68
286,0,3,8,0.81
289,1,4,5,0.74
293,0,4,8,0.91
296,0,5,7,0.67
303,0,2,2,0.93
311,0,4,9,0.9
312,0,3,3,0.7
315,0,6,6,0.83
326,0,0,5,0.7
338,0,0,2,0.94
352,0,8,7,0.9
361,0,0,9,0.9
364,0,6,5,0.88
371,0,6,1,0.82
381,0,9,9,0.63
383,0,4,0,0.92
406,1,5,9,0.62
416,0,2,3,0.7
421,0,1,6,0.84
441,0,2,7,0.77
470,1,5,3,0.82
476,0,3,2,0.76
487,0,1,5,0.7
