step,car_id,x,y
4,7,8,5
4,8,8,5
4,18,8,5
7,13,9,0
13,14,7,8
13,16,7,8
25,4,7,1
25,11,7,1
25,13,7,1
38,10,3,9
38,19,3,9
49,11,8,2
62,3,1,3
67,3,0,4
68,1,4,7
68,5,4,7
68,19,4,7
69,6,2,0
69,9,2,0
71,3,0,2
78,4,5,1
81,5,5,7
82,7,8,3
82,11,8,3
93,3,1,4
96,17,1,7
100,0,0,9
100,12,0,9
100,15,0,9
103,13,8,0
113,14,8,8
113,16,8,8
123,3,0,3
131,1,4,6
131,5,4,6
132,6,4,2
136,2,0,1
139,11,9,2
158,17,1,5
159,14,7,7
159,16,7,7
162,2,0,0
164,4,6,2
171,18,6,4
178,7,9,4
178,8,9,4
186,4,5,2
190,4,7,2
190,11,7,2
207,8,7,4
207,18,7,4
211,10,3,8
211,19,3,8
212,10,5,9
213,1,4,5
213,5,4,5
217,8,8,6
217,14,8,6
217,16,8,6
217,18,8,6
219,7,8,4
219,8,8,4
219,18,8,4
229,10,4,8
229,19,4,8
238,2,1,0
256,6,3,2
271,11,9,1
271,13,9,1
289,4,6,3
362,11,8,1
362,13,8,1
369,0,2,8
369,12,2,8
369,15,2,8
369,19,2,8
375,3,1,2
380,10,5,8
411,14,9,8
411,16,9,8
439,1,2,7
439,19,2,7
448,10,4,9
448,19,4,9
473,1,3,6
478,6,4,1
478,9,4,1
485,0,0,8
485,12,0,8
485,15,0,8
