step,car_id,hazard_x,hazard_y,sender_id
4,0,8,5,
4,1,8,5,
4,2,8,5,
4,3,8,5,
4,5,8,5,
4,6,8,5,
4,9,8,5,
4,10,8,5,
4,12,8,5,
4,13,8,5,
4,14,8,5,
4,15,8,5,
4,16,8,5,
4,17,8,5,
4,19,8,5,
5,4,8,5,
5,11,8,5,
7,0,9,0,
7,1,9,0,
7,3,9,0,
7,4,9,0,
7,5,9,0,
7,6,9,0,
7,7,9,0,
7,8,9,0,
7,9,9,0,
7,10,9,0,
7,11,9,0,
7,12,9,0,
7,14,9,0,
7,15,9,0,
7,16,9,0,
7,17,9,0,
7,18,9,0,
7,19,9,0,
8,2,9,0,
13,2,7,8,
13,3,7,8,
13,4,7,8,
13,5,7,8,
13,6,7,8,
13,7,7,8,
13,8,7,8,
13,9,7,8,
13,10,7,8,
13,11,7,8,
13,12,7,8,
13,15,7,8,
13,17,7,8,
13,18,7,8,
14,0,7,8,
14,1,7,8,
14,13,7,8,
14,19,7,8,
25,0,7,1,
25,1,7,1,
25,2,7,1,
25,3,7,1,
25,5,7,1,
25,6,7,1,
25,7,7,1,
25,8,7,1,
25,9,7,1,
25,10,7,1,
25,12,7,1,
25,14,7,1,
25,15,7,1,
25,16,7,1,
25,17,7,1,
25,18,7,1,
25,19,7,1,
38,0,3,9,
38,1,3,9,
38,2,3,9,
38,3,3,9,
38,4,3,9,
38,5,3,9,
38,6,3,9,
38,7,3,9,
38,8,3,9,
38,9,3,9,
38,11,3,9,
38,12,3,9,
38,13,3,9,
38,14,3,9,
38,15,3,9,
38,16,3,9,
38,17,3,9,
38,18,3,9,
49,0,8,2,
49,1,8,2,
49,2,8,2,
49,3,8,2,
49,4,8,2,
49,5,8,2,
49,6,8,2,
49,7,8,2,
49,8,8,2,
49,9,8,2,
49,10,8,2,
49,12,8,2,
49,13,8,2,
49,14,8,2,
49,15,8,2,
49,16,8,2,
49,17,8,2,
49,18,8,2,
49,19,8,2,
62,1,1,3,
62,2,1,3,
62,4,1,3,
62,5,1,3,
62,6,1,3,
