step,car_id,hazard_x,hazard_y,confidence
0,0,6,0,0.84
4,0,8,5,0.81
7,0,9,0,0.93
13,1,7,8,0.97
25,1,7,1,0.83
38,0,3,9,0.77
43,0,5,4,0.98
49,0,8,2,0.72
62,0,1,3,0.82
67,0,0,4,0.76
68,0,4,7,0.75
69,0,2,0,0.79
70,0,5,0,0.91
71,0,0,2,0.81
78,0,5,1,0.71
81,1,5,7,0.86
82,0,8,3,0.77
93,2,1,4,0.98
96,0,1,7,0.8
100,0,0,9,0.93
103,2,8,0,0.73
113,0,8,8,0.82
123,3,0,3,0.93
127,0,9,9,0.79
131,0,4,6,0.88
132,0,4,2,0.98
136,0,0,1,0.75
139,0,9,2,0.86
151,0,4,4,0.82
158,0,1,5,0.73
159,0,7,7,0.79
162,0,0,0,0.87
164,0,6,2,0.98
171,0,6,4,0.83
178,0,9,4,0.93
186,1,5,2,0.81
190,0,7,2,0.76
203,0,2,3,0.93
207,0,7,4,0.72
211,0,3,8,0.79
212,1,5,9,0.84
213,2,4,5,0.77
217,0,8,6,0.81
219,1,8,4,0.84
229,0,4,8,0.88
238,1,1,0,0.84
256,1,3,2,0.84
271,0,9,1,0.74
278,0,6,9,0.79
289,0,6,3,0.96
362,0,8,1,0.82
369,0,2,8,0.8
375,0,1,2,0.86
380,0,5,8,0.93
411,0,9,8,0.82
435,0,7,9,0.96
439,1,2,7,0.75
448,0,4,9,0.82
473,0,3,6,0.98
478,1,4,1,0.79
485,0,0,8,0.72
