step,car_id,x,y
1,0,4,1
1,4,4,1
1,5,4,1
1,13,4,1
1,15,4,1
6,6,5,7
16,6,6,7
16,19,6,7
17,18,9,9
23,6,4,7
23,17,4,7
26,7,9,3
26,16,9,3
32,4,3,3
32,11,3,3
32,13,3,3
43,2,1,4
43,3,1,4
44,6,5,8
44,12,5,8
45,19,6,5
57,17,3,8
59,9,9,1
59,14,9,1
59,16,9,1
60,10,8,8
60,18,8,8
70,9,7,1
70,16,7,1
77,11,2,5
78,16,7,3
82,0,4,0
82,5,4,0
82,15,4,0
102,0,4,2
102,4,4,2
102,5,4,2
102,13,4,2
102,15,4,2
104,10,7,8
104,12,7,8
116,9,8,1
116,14,8,1
116,16,8,1
121,19,7,5
145,10,7,7
145,19,7,7
147,12,7,9
154,10,9,8
154,18,9,8
164,1,2,0
164,5,2,0
164,15,2,0
186,11,4,5
190,19,6,6
200,8,0,8
202,11,2,4
203,17,3,7
204,0,5,2
204,13,5,2
208,2,0,3
208,3,0,3
218,0,5,1
218,13,5,1
219,7,9,4
245,1,3,2
245,4,3,2
245,5,3,2
245,13,3,2
245,15,3,2
252,1,2,2
252,4,2,2
252,5,2,2
252,15,2,2
265,17,4,6
309,10,8,7
309,19,8,7
311,2,0,2
311,3,0,2
315,6,4,8
315,17,4,8
317,8,0,9
320,18,8,9
355,7,9,5
370,6,4,9
379,11,3,5
390,9,7,0
393,8,1,8
403,9,9,0
403,14,9,0
422,1,1,2
422,2,1,2
422,3,1,2
424,2,1,3
424,3,1,3
437,0,6,0
462,13,5,3
465,4,2,3
465,11,2,3
471,1,1,0
476,17,3,6
481,1,2,1
481,4,2,1
481,5,2,1
481,15,2,1
499,0,6,2
