step,car_id,hazard_x,hazard_y,sender_id
1,0,4,1,
1,1,4,1,
1,2,4,1,
1,3,4,1,
1,6,4,1,
1,4,4,1,
1,7,4,1,
1,5,4,1,
1,8,4,1,
1,9,4,1,
1,10,4,1,
1,11,4,1,
1,12,4,1,
1,14,4,1,
1,13,4,1,
1,16,4,1,
1,15,4,1,
1,18,4,1,
1,19,4,1,
4,17,4,1,
6,7,5,7,
6,8,5,7,
6,9,5,7,
6,10,5,7,
6,11,5,7,
6,12,5,7,
6,13,5,7,
6,14,5,7,
6,16,5,7,
6,17,5,7,
6,18,5,7,
6,19,5,7,
7,1,5,7,
7,3,5,7,
7,4,5,7,
7,5,5,7,
7,6,5,7,
7,15,5,7,
8,0,5,7,
8,2,5,7,
16,7,6,7,
16,6,6,7,
16,8,6,7,
16,9,6,7,
16,10,6,7,
16,12,6,7,
16,13,6,7,
16,14,6,7,
16,15,6,7,
16,16,6,7,
16,17,6,7,
16,18,6,7,
16,19,6,7,
17,0,6,7,
17,1,6,7,
17,2,6,7,
17,3,6,7,
17,4,6,7,
17,5,6,7,
17,11,6,7,
17,19,9,9,
17,18,9,9,
18,2,9,9,
18,3,9,9,
18,4,9,9,
18,5,9,9,
18,6,9,9,
18,7,9,9,
18,8,9,9,
18,9,9,9,
18,10,9,9,
18,11,9,9,
18,12,9,9,
18,13,9,9,
18,14,9,9,
18,15,9,9,
18,16,9,9,
18,17,9,9,
19,1,9,9,
20,0,9,9,
23,7,4,7,
23,8,4,7,
23,9,4,7,
23,10,4,7,
23,11,4,7,
23,12,4,7,
23,14,4,7,
23,15,4,7,
23,16,4,7,
23,18,4,7,
23,17,4,7,
23,19,4,7,
24,0,4,7,
24,1,4,7,
24,2,4,7,
24,3,4,7,
24,4,4,7,
24,5,4,7,
24,13,4,7,
26,8,9,3,
26,9,9,3,
26,10,9,3,
26,12,9,3,
26,13,9,3,
26,14,9,3,
26,15,9,3,
26,16,9,3,
26,17,9,3,
26,18,9,3,
26,19,9,3,
27,0,9,3,
27,1,9,3,
27,2,9,3,
27,3,9,3,
27,4,9,3,
27,5,9,3,
27,7,9,3,
27,11,9,3,
32,5,3,3,
32,4,3,3,
32,7,3,3,
32,9,3,3,
32,10,3,3,
32,11,3,3,
32,12,3,3,
32,13,3,3,
32,15,3,3,
32,17,3,3,
32,18,3,3,
32,19,3,3,
33,0,3,3,
33,2,3,3,
33,3,3,3,
33,8,3,3,
33,14,3,3,
33,16,3,3,
34,1,3,3,
43,2,1,4,
43,4,1,4,
43,3,1,4,
43,7,1,4,
43,8,1,4,
43,9,1,4,
43,10,1,4,
43,11,1,4,
43,13,1,4,
43,14,1,4,
43,16,1,4,
43,17,1,4,
43,18,1,4,
43,19,1,4,
44,0,1,4,
44,1,1,4,
44,5,1,4,
44,7,5,8,
44,8,5,8,
44,10,5,8,
44,11,5,8,
44,13,5,8,
44,12,1,4,
44,14,5,8,
44,12,5,8,
44,16,5,8,
44,17,5,8,
44,18,5,8,
44,19,5,8,
45,0,5,8,
45,1,5,8,
45,3,5,8,
45,4,5,8,
45,5,5,8,
45,9,5,8,
45,15,1,4,
45,15,5,8,
45,19,6,5,
46,1,6,5,
46,2,5,8,
46,2,6,5,
46,3,6,5,
46,4,6,5,
46,7,6,5,
46,8,6,5,
46,9,6,5,
46,10,6,5,
46,11,6,5,
46,12,6,5,
46,13,6,5,
46,15,6,5,
46,16,6,5,
46,17,6,5,
46,18,6,5,
47,0,6,5,
47,5,6,5,
47,14,6,5,
57,18,3,8,
57,17,3,8,
57,19,3,8,
58,0,3,8,
58,1,3,8,
58,2,3,8,
58,3,3,8,
58,4,3,8,
58,5,3,8,
58,7,3,8,
58,8,3,8,
58,9,3,8,
58,10,3,8,
58,11,3,8,
58,12,3,8,
58,13,3,8,
58,15,3,8,
58,16,3,8,
59,10,9,1,
59,9,9,1,
59,13,9,1,
59,15,9,1,
59,14,3,8,
59,17,9,1,
59,14,9,1,
59,18,9,1,
59,19,9,1,
59,16,9,1,
60,0,9,1,
60,1,9,1,
60,3,9,1,
60,4,9,1,
60,5,9,1,
60,7,9,1,
60,8,9,1,
60,10,8,8,
60,11,9,1,
60,11,8,8,
60,12,9,1,
60,12,8,8,
60,13,8,8,
60,14,8,8,
60,15,8,8,
60,16,8,8,
60,17,8,8,
60,18,8,8,
60,19,8,8,
61,0,8,8,
61,1,8,8,
61,2,9,1,
61,2,8,8,
