step,car_id,x,y
7,0,3,5
7,16,3,5
9,13,0,5
15,1,7,9
15,6,7,9
15,10,7,9
18,9,3,4
18,16,3,4
21,8,8,4
21,15,8,4
21,18,8,4
21,19,8,4
24,5,1,2
24,9,1,2
34,2,4,0
34,14,4,0
36,1,5,8
52,4,2,8
60,7,8,1
60,12,8,1
71,9,2,4
71,16,2,4
72,18,7,5
74,9,1,3
74,13,1,3
75,9,3,3
75,16,3,3
82,3,6,1
82,11,6,1
82,12,6,1
82,14,6,1
95,1,7,8
95,6,7,8
95,10,7,8
96,0,2,5
96,16,2,5
105,6,8,7
105,10,8,7
110,6,8,8
110,10,8,8
110,17,8,8
119,8,9,5
119,18,9,5
119,19,9,5
138,1,5,7
156,0,3,7
156,4,3,7
164,0,1,7
173,16,4,5
185,11,7,2
185,15,7,2
192,8,8,6
192,18,8,6
192,19,8,6
193,11,5,2
193,14,5,2
197,5,1,1
217,7,9,1
227,15,7,4
227,18,7,4
238,3,7,1
238,7,7,1
238,11,7,1
238,12,7,1
239,4,4,7
252,11,6,2
252,14,6,2
264,2,2,0
264,5,2,0
273,4,3,9
298,15,8,3
313,9,2,3
313,16,2,3
320,1,5,9
336,18,7,6
341,3,5,0
341,11,5,0
341,14,5,0
353,7,9,0
356,4,2,9
361,13,0,3
365,4,4,9
370,0,3,6
405,16,4,4
414,1,6,9
414,6,6,9
414,10,6,9
416,8,9,6
416,18,9,6
416,19,9,6
434,1,7,7
434,6,7,7
434,10,7,7
435,13,0,4
436,8,9,4
436,15,9,4
436,18,9,4
436,19,9,4
451,1,6,8
451,6,6,8
451,10,6,8
462,5,0,1
480,9,1,4
480,13,1,4
486,5,1,0
495,0,1,6
