step,car_id,hazard_x,hazard_y,sender_id
7,1,3,5,
7,2,3,5,
7,3,3,5,
7,4,3,5,
7,5,3,5,
7,6,3,5,
7,7,3,5,
7,8,3,5,
7,9,3,5,
7,11,3,5,
7,12,3,5,
7,13,3,5,
7,14,3,5,
7,15,3,5,
8,19,3,5,
9,0,0,5,
9,1,0,5,
9,2,0,5,
9,3,0,5,
9,4,0,5,
9,5,0,5,
9,6,0,5,
9,7,0,5,
9,8,0,5,
9,9,0,5,
9,10,3,5,
9,10,0,5,
9,11,0,5,
9,14,0,5,
9,15,0,5,
9,16,0,5,
9,18,3,5,
9,18,0,5,
9,19,0,5,
10,12,0,5,
10,17,3,5,
10,17,0,5,
15,0,7,9,
15,2,7,9,
15,3,7,9,
15,4,7,9,
15,5,7,9,
15,7,7,9,
15,8,7,9,
15,9,7,9,
15,11,7,9,
15,12,7,9,
15,13,7,9,
15,14,7,9,
15,15,7,9,
15,16,7,9,
15,17,7,9,
15,18,7,9,
15,19,7,9,
18,0,3,4,
18,3,3,4,
18,4,3,4,
18,5,3,4,
18,6,3,4,
18,7,3,4,
18,8,3,4,
18,10,3,4,
18,11,3,4,
18,12,3,4,
18,13,3,4,
18,14,3,4,
18,15,3,4,
18,17,3,4,
18,18,3,4,
18,19,3,4,
19,2,3,4,
20,1,3,4,
21,0,8,4,
21,1,8,4,
21,2,8,4,
21,3,8,4,
21,4,8,4,
21,5,8,4,
21,6,8,4,
21,7,8,4,
21,9,8,4,
21,10,8,4,
21,11,8,4,
21,12,8,4,
21,13,8,4,
21,14,8,4,
21,16,8,4,
21,17,8,4,
24,0,1,2,
24,1,1,2,
24,2,1,2,
24,3,1,2,
24,4,1,2,
24,7,1,2,
24,8,1,2,
24,11,1,2,
24,12,1,2,
24,13,1,2,
24,14,1,2,
24,15,1,2,
24,16,1,2,
24,18,1,2,
24,19,1,2,
25,6,1,2,
25,10,1,2,
25,17,1,2,
34,0,4,0,
34,1,4,0,
34,3,4,0,
34,4,4,0,
34,5,4,0,
34,6,4,0,
34,7,4,0,
34,8,4,0,
34,9,4,0,
34,10,4,0,
34,11,4,0,
34,12,4,0,
34,16,4,0,
34,19,4,0,
35,13,4,0,
35,15,4,0,
35,17,4,0,
35,18,4,0,
36,0,5,8,
36,2,5,8,
36,3,5,8,
36,4,5,8,
36,5,5,8,
36,6,5,8,
36,7,5,8,
36,8,5,8,
36,9,5,8,
36,10,5,8,
36,11,5,8,
36,12,5,8,
36,13,5,8,
36,14,5,8,
36,15,5,8,
36,16,5,8,
36,17,5,8,
36,18,5,8,
36,19,5,8,
52,1,2,8,
52,2,2,8,
52,3,2,8,
52,5,2,8,
52,6,2,8,
52,7,2,8,
52,8,2,8,
52,9,2,8,
52,10,2,8,
52,12,2,8,
52,13,2,8,
52,14,2,8,
52,15,2,8,
52,16,2,8,
52,17,2,8,
52,18,2,8,
52,19,2,8,
53,0,2,8,
54,11,2,8,
60,0,8,1,
60,1,8,1,
60,2,8,1,
60,3,8,1,
60,5,8,1,
60,6,8,1,
60,8,8,1,
60,9,8,1,
60,10,8,1,
60,11,8,1,
60,13,8,1,
60,14,8,1,
60,15,8,1,
60,16,8,1,
60,18,8,1,
60,19,8,1,
61,4,8,1,
61,17,8,1,
71,0,2,4,
71,1,2,4,
71,2,2,4,
71,3,2,4,
71,4,2,4,
71,5,2,4,
71,6,2,4,
71,7,2,4,
71,8,2,4,
71,10,2,4,
71,11,2,4,
71,12,2,4,
71,13,2,4,
71,15,2,4,
71,17,2,4,
71,18,2,4,
71,19,2,4,
72,0,7,5,
72,1,7,5,
72,2,7,5,
72,4,7,5,
72,5,7,5,
72,6,7,5,
72,7,7,5,
72,8,7,5,
72,9,7,5,
72,10,7,5,
72,11,7,5,
72,12,7,5,
72,13,7,5,
72,14,2,4,
72,14,7,5,
72,15,7,5,
72,17,7,5,
73,3,7,5,
73,16,7,5,
73,19,7,5,
74,0,1,3,
74,1,1,3,
74,2,1,3,
74,3,1,3,
74,4,1,3,
74,5,1,3,
74,6,1,3,
74,7,1,3,
74,8,1,3,
74,11,1,3,
74,12,1,3,
74,14,1,3,
74,15,1,3,
74,16,1,3,
74,17,1,3,
74,18,1,3,
74,19,1,3,
75,0,3,3,
75,1,3,3,
75,2,3,3,
75,3,3,3,
75,4,3,3,
75,5,3,3,
75,6,3,3,
75,7,3,3,
75,8,3,3,
75,10,1,3,
75,10,3,3,
75,11,3,3,
75,12,3,3,
75,13,3,3,
75,14,3,3,
75,15,3,3,
75,17,3,3,
75,18,3,3,
75,19,3,3,
82,0,6,1,
82,1,6,1,
82,2,6,1,
82,4,6,1,
82,5,6,1,
82,6,6,1,
82,7,6,1,
82,8,6,1,
82,9,6,1,
82,10,6,1,
82,13,6,1,
82,15,6,1,
82,16,6,1,
82,18,6,1,
83,17,6,1,
83,19,6,1,
95,0,7,8,
95,2,7,8,
95,3,7,8,
95,4,7,8,
95,5,7,8,
95,7,7,8,
95,8,7,8,
95,9,7,8,
95,11,7,8,
95,12,7,8,
95,13,7,8,
95,14,7,8,
95,15,7,8,
95,16,7,8,
95,17,7,8,
95,18,7,8,
95,19,7,8,
96,2,2,5,
96,3,2,5,
96,4,2,5,
96,5,2,5,
96,6,2,5,
96,7,2,5,
96,10,2,5,
96,11,2,5,
96,12,2,5,
96,13,2,5,
96,14,2,5,
96,15,2,5,
96,18,2,5,
96,19,2,5,
97,1,2,5,
97,8,2,5,
97,9,2,5,
97,17,2,5,
105,0,8,7,
105,1,8,7,
105,2,8,7,
105,3,8,7,
105,4,8,7,
105,5,8,7,
105,7,8,7,
105,8,8,7,
105,9,8,7,
105,11,8,7,
105,12,8,7,
105,15,8,7,
105,16,8,7,
105,17,8,7,
105,18,8,7,
105,19,8,7,
106,13,8,7,
106,14,8,7,
110,0,8,8,
110,1,8,8,
110,2,8,8,
110,3,8,8,
110,4,8,8,
