step,car_id,x,y
0,1,1,8
0,2,2,2
0,3,1,8
0,4,2,2
0,6,1,8
0,7,1,8
0,19,7,3
1,5,9,6
1,12,9,6
1,16,9,6
2,0,0,5
10,19,7,4
13,10,3,6
13,14,3,6
13,18,3,6
18,13,9,8
18,16,9,8
21,10,4,5
26,4,4,3
26,11,4,3
39,11,5,1
43,1,2,8
43,3,2,8
43,7,2,8
49,9,4,8
50,13,9,9
53,9,5,7
64,1,1,9
64,3,1,9
64,7,1,9
67,2,2,1
67,8,2,1
76,12,8,4
76,19,8,4
96,1,3,8
96,3,3,8
96,9,3,8
99,16,7,7
102,0,0,7
102,6,0,7
102,7,0,7
117,17,8,1
124,19,6,4
125,16,7,8
131,5,9,5
131,12,9,5
132,10,2,5
132,14,2,5
132,18,2,5
145,9,4,9
150,19,6,5
152,10,2,6
152,14,2,6
152,18,2,6
154,19,8,3
165,0,1,5
165,14,1,5
165,18,1,5
175,0,1,6
175,6,1,6
175,14,1,6
175,18,1,6
180,5,9,7
180,16,9,7
182,8,0,1
182,15,0,1
185,17,9,0
187,17,8,0
202,6,0,8
202,7,0,8
233,12,9,4
249,4,4,4
274,10,4,6
289,2,4,2
289,4,4,2
289,11,4,2
302,17,9,1
320,9,5,9
345,10,3,5
345,14,3,5
345,18,3,5
353,15,1,2
354,8,1,1
354,15,1,1
372,5,8,7
372,16,8,7
374,8,1,0
374,15,1,0
377,1,3,7
377,3,3,7
377,9,3,7
377,10,3,7
377,18,3,7
383,2,3,0
385,1,2,7
385,3,2,7
385,7,2,7
385,10,2,7
385,18,2,7
408,19,7,5
420,11,5,2
421,2,3,2
421,4,3,2
421,11,3,2
450,13,8,8
450,16,8,8
493,4,3,4
493,14,3,4
