step,car_id,hazard_x,hazard_y,sender_id
0,0,1,8,
0,0,2,2,
0,0,7,3,
0,1,2,2,
0,1,7,3,
0,2,1,8,
0,2,7,3,
0,3,2,2,
0,4,1,8,
0,4,7,3,
0,5,1,8,
0,5,2,2,
0,6,2,2,
0,6,7,3,
0,7,2,2,
0,7,7,3,
0,8,2,2,
0,8,7,3,
0,9,1,8,
0,9,2,2,
0,9,7,3,
0,10,1,8,
0,10,2,2,
0,10,7,3,
0,11,1,8,
0,11,2,2,
0,11,7,3,
0,12,1,8,
0,12,2,2,
0,12,7,3,
0,13,1,8,
0,13,2,2,
0,13,7,3,
0,14,1,8,
0,14,2,2,
0,14,7,3,
0,15,1,8,
0,15,2,2,
0,15,7,3,
0,16,7,3,
0,17,1,8,
0,17,2,2,
0,17,7,3,
0,18,1,8,
0,18,2,2,
0,18,7,3,
0,19,1,8,
0,19,2,2,
1,0,9,6,
1,1,9,6,
1,2,9,6,
1,3,7,3,
1,3,9,6,
1,4,9,6,
1,5,7,3,
1,6,9,6,
1,7,9,6,
1,8,9,6,
1,9,9,6,
1,10,9,6,
1,11,9,6,
1,13,9,6,
1,15,9,6,
1,16,2,2,
1,17,9,6,
1,18,9,6,
2,1,0,5,
2,2,0,5,
2,3,0,5,
2,4,0,5,
2,6,0,5,
2,7,0,5,
2,8,1,8,
2,8,0,5,
2,9,0,5,
2,10,0,5,
2,11,0,5,
2,12,0,5,
2,13,0,5,
2,14,9,6,
2,14,0,5,
2,16,1,8,
2,16,0,5,
2,17,0,5,
2,19,0,5,
3,5,0,5,
3,15,0,5,
3,18,0,5,
3,19,9,6,
10,0,7,4,
10,1,7,4,
10,3,7,4,
10,4,7,4,
10,5,7,4,
10,6,7,4,
10,7,7,4,
10,8,7,4,
10,9,7,4,
10,10,7,4,
10,11,7,4,
10,12,7,4,
10,13,7,4,
10,14,7,4,
10,15,7,4,
10,16,7,4,
10,17,7,4,
10,18,7,4,
11,2,7,4,
13,0,3,6,
13,1,3,6,
13,2,3,6,
13,3,3,6,
13,4,3,6,
13,5,3,6,
13,6,3,6,
13,7,3,6,
13,8,3,6,
13,9,3,6,
13,11,3,6,
13,12,3,6,
13,13,3,6,
13,15,3,6,
13,16,3,6,
13,17,3,6,
13,19,3,6,
18,0,9,8,
18,2,9,8,
18,3,9,8,
18,4,9,8,
18,5,9,8,
18,6,9,8,
18,7,9,8,
18,8,9,8,
18,9,9,8,
18,10,9,8,
18,11,9,8,
18,12,9,8,
18,14,9,8,
18,15,9,8,
18,17,9,8,
18,18,9,8,
18,19,9,8,
19,1,9,8,
21,0,4,5,
21,1,4,5,
21,2,4,5,
21,3,4,5,
21,4,4,5,
21,5,4,5,
21,6,4,5,
21,7,4,5,
21,8,4,5,
21,11,4,5,
21,13,4,5,
21,14,4,5,
21,15,4,5,
21,17,4,5,
21,18,4,5,
21,19,4,5,
22,9,4,5,
22,12,4,5,
22,16,4,5,
26,0,4,3,
26,1,4,3,
26,2,4,3,
26,3,4,3,
26,5,4,3,
26,6,4,3,
26,7,4,3,
26,10,4,3,
26,12,4,3,
26,14,4,3,
26,15,4,3,
26,16,4,3,
26,17,4,3,
26,18,4,3,
26,19,4,3,
27,8,4,3,
27,13,4,3,
28,9,4,3,
39,1,5,1,
39,2,5,1,
39,3,5,1,
39,4,5,1,
39,5,5,1,
39,6,5,1,
39,7,5,1,
39,8,5,1,
39,13,5,1,
39,14,5,1,
39,15,5,1,
39,16,5,1,
39,17,5,1,
39,18,5,1,
39,19,5,1,
40,9,5,1,
40,10,5,1,
40,12,5,1,
41,0,5,1,
43,0,2,8,
43,2,2,8,
43,4,2,8,
43,5,2,8,
43,6,2,8,
43,8,2,8,
43,9,2,8,
43,10,2,8,
43,12,2,8,
43,13,2,8,
43,16,2,8,
43,17,2,8,
43,18,2,8,
43,19,2,8,
44,14,2,8,
44,15,2,8,
47,11,2,8,
49,0,4,8,
49,1,4,8,
49,2,4,8,
49,3,4,8,
49,4,4,8,
49,5,4,8,
49,6,4,8,
49,7,4,8,
49,8,4,8,
49,10,4,8,
49,11,4,8,
49,12,4,8,
49,13,4,8,
49,14,4,8,
49,15,4,8,
49,16,4,8,
49,17,4,8,
49,18,4,8,
49,19,4,8,
50,0,9,9,
50,2,9,9,
50,3,9,9,
50,4,9,9,
50,6,9,9,
50,7,9,9,
50,8,9,9,
50,9,9,9,
50,10,9,9,
50,11,9,9,
50,12,9,9,
50,14,9,9,
50,15,9,9,
50,16,9,9,
50,17,9,9,
50,18,9,9,
50,19,9,9,
51,1,9,9,
51,5,9,9,
53,0,5,7,
53,1,5,7,
53,2,5,7,
53,3,5,7,
53,4,5,7,
53,5,5,7,
53,6,5,7,
53,7,5,7,
53,8,5,7,
53,10,5,7,
53,11,5,7,
53,12,5,7,
53,13,5,7,
53,14,5,7,
53,16,5,7,
53,17,5,7,
53,18,5,7,
53,19,5,7,
54,15,5,7,
64,0,1,9,
64,2,1,9,
64,4,1,9,
64,5,1,9,
64,6,1,9,
64,8,1,9,
64,9,1,9,
64,10,1,9,
64,11,1,9,
64,12,1,9,
64,13,1,9,
64,15,1,9,
64,16,1,9,
64,17,1,9,
64,18,1,9,
64,19,1,9,
66,14,1,9,
67,0,2,1,
67,1,2,1,
67,3,2,1,
67,4,2,1,
67,5,2,1,
67,6,2,1,
67,7,2,1,
67,9,2,1,
67,10,2,1,
67,11,2,1,
67,12,2,1,
67,13,2,1,
67,14,2,1,
67,15,2,1,
67,16,2,1,
67,17,2,1,
67,18,2,1,
67,19,2,1,
76,0,8,4,
76,1,8,4,
76,2,8,4,
76,3,8,4,
76,4,8,4,
76,6,8,4,
76,7,8,4,
76,8,8,4,
76,11,8,4,
76,13,8,4,
76,14,8,4,
76,15,8,4,
76,17,8,4,
76,18,8,4,
77,5,8,4,
77,9,8,4,
77,10,8,4,
77,16,8,4,
96,0,3,8,
96,2,3,8,
96,4,3,8,
96,5,3,8,
96,6,3,8,
96,7,3,8,
96,8,3,8,
96,10,3,8,
96,11,3,8,
96,13,3,8,
96,14,3,8,
96,15,3,8,
96,16,3,8,
96,17,3,8,
96,18,3,8,
96,19,3,8,
97,12,3,8,
99,0,7,7,
99,1,7,7,
99,2,7,7,
99,3,7,7,
99,4,7,7,
99,5,7,7,
99,6,7,7,
99,7,7,7,
99,8,7,7,
99,9,7,7,
99,12,7,7,
99,14,7,7,
99,15,7,7,
99,17,7,7,
99,18,7,7,
100,11,7,7,
100,13,7,7,
100,19,7,7,
101,10,7,7,
102,1,0,7,
102,3,0,7,
102,4,0,7,
102,5,0,7,
102,8,0,7,
102,9,0,7,
102,10,0,7,
102,12,0,7,
102,13,0,7,
102,14,0,7,
102,15,0,7,
102,16,0,7,
102,17,0,7,
102,18,0,7,
102,19,0,7,
103,2,0,7,
103,11,0,7,
117,0,8,1,
117,1,8,1,
117,2,8,1,
117,4,8,1,
117,5,8,1,
117,6,8,1,
117,7,8,1,
117,8,8,1,
117,10,8,1,
117,11,8,1,
117,12,8,1,
117,13,8,1,
117,14,8,1,
117,15,8,1,
117,16,8,1,
117,18,8,1,
117,19,8,1,
118,3,8,1,
118,9,8,1,
124,0,6,4,
124,1,6,4,
124,2,6,4,
124,3,6,4,
124,4,6,4,
124,5,6,4,
124,6,6,4,
124,7,6,4,
124,9,6,4,
124,10,6,4,
124,11,6,4,
124,13,6,4,
124,14,6,4,
124,15,6,4,
124,16,6,4,
124,17,6,4,
124,18,6,4,
125,0,7,8,
125,1,7,8,
125,3,7,8,
125,4,7,8,
125,5,7,8,
125,6,7,8,
125,7,7,8,
125,8,6,4,
125,8,7,8,
125,9,7,8,
125,10,7,8,
125,12,7,8,
125,13,7,8,
125,14,7,8,
125,15,7,8,
125,17,7,8,
125,18,7,8,
125,19,7,8,
126,11,7,8,
126,12,6,4,
127,2,7,8,
131,0,9,5,
131,1,9,5,
131,3,9,5,
131,4,9,5,
131,6,9,5,
131,7,9,5,
131,8,9,5,
131,9,9,5,
131,10,9,5,
131,11,9,5,
131,13,9,5,
131,15,9,5,
131,16,9,5,
131,17,9,5,
131,18,9,5,
132,0,2,5,
132,1,2,5,
132,2,9,5,
132,2,2,5,
132,3,2,5,
132,5,2,5,
132,6,2,5,
132,7,2,5,
132,8,2,5,
132,9,2,5,
132,11,2,5,
132,13,2,5,
132,14,9,5,
132,15,2,5,
132,16,2,5,
132,17,2,5,
132,19,9,5,
132,19,2,5,
133,4,2,5,
133,12,2,5,
145,0,4,9,
145,1,4,9,
145,3,4,9,
145,4,4,9,
145,5,4,9,
145,6,4,9,
145,7,4,9,
145,8,4,9,
145,10,4,9,
145,11,4,9,
145,12,4,9,
145,13,4,9,
145,14,4,9,
145,15,4,9,
145,16,4,9,
145,17,4,9,
145,18,4,9,
145,19,4,9,
146,2,4,9,
150,0,6,5,
150,1,6,5,
150,2,6,5,
150,3,6,5,
150,4,6,5,
150,5,6,5,
150,6,6,5,
150,7,6,5,
150,8,6,5,
150,9,6,5,
150,10,6,5,
150,11,6,5,
150,12,6,5,
150,13,6,5,
150,14,6,5,
150,15,6,5,
150,17,6,5,
150,18,6,5,
151,16,6,5,
152,0,2,6,
152,1,2,6,
152,2,2,6,
152,3,2,6,
152,4,2,6,
152,5,2,6,
152,6,2,6,
152,7,2,6,
152,8,2,6,
152,9,2,6,
152,11,2,6,
152,12,2,6,
152,13,2,6,
152,15,2,6,
152,16,2,6,
152,17,2,6,
152,19,2,6,
154,0,8,3,
154,1,8,3,
154,2,8,3,
154,3,8,3,
154,4,8,3,
154,5,8,3,
154,6,8,3,
154,8,8,3,
154,9,8,3,
154,12,8,3,
154,13,8,3,
154,15,8,3,
154,16,8,3,
154,17,8,3,
154,18,8,3,
155,7,8,3,
155,10,8,3,
155,11,8,3,
155,14,8,3,
165,1,1,5,
165,2,1,5,
