step,car_id,hazard_x,hazard_y,confidence
0,0,1,8,0.8
0,0,2,2,0.94
0,0,5,5,0.78
0,0,7,3,0.85
1,0,9,6,0.85
2,0,0,5,0.78
10,1,7,4,0.97
13,1,3,6,0.87
14,0,6,1,0.81
18,0,9,8,0.93
21,3,4,5,0.9
26,1,4,3,0.78
39,0,5,1,0.91
41,0,5,4,0.78
43,0,2,8,0.8
49,1,4,8,0.91
50,1,9,9,0.83
53,1,5,7,0.88
64,0,1,9,0.84
67,0,2,1,0.94
76,1,8,4,0.98
96,0,3,8,0.95
98,0,5,0,0.74
99,0,7,7,0.91
102,0,0,7,0.9
117,0,8,1,0.96
124,0,6,4,0.89
125,0,7,8,0.88
131,0,9,5,0.72
132,0,2,5,0.83
136,0,6,2,0.91
145,0,4,9,0.97
150,1,6,5,0.77
152,0,2,6,0.97
154,0,8,3,0.97
165,0,1,5,0.71
175,2,1,6,0.87
180,0,9,7,0.95
182,0,0,1,0.87
185,0,9,0,0.95
187,1,8,0,0.74
202,2,0,8,0.78
206,0,0,4,0.78
233,0,9,4,0.89
249,0,4,4,0.82
274,0,4,6,0.86
289,1,4,2,0.71
302,0,9,1,0.82
320,1,5,9,0.76
345,1,3,5,0.89
353,3,1,2,0.72
354,0,1,1,0.91
355,0,6,9,0.73
372,1,8,7,0.88
374,1,1,0,0.9
377,0,3,7,0.87
383,0,3,0,0.9
385,0,2,7,0.94
408,0,7,5,0.94
420,1,5,2,0.97
421,0,3,2,0.76
434,1,7,9,0.86
450,0,8,8,0.96
488,2,6,8,0.94
493,0,3,4,0.77
496,0,7,2,0.86
