step,car_id,x,y
7,6,6,9
7,7,6,9
11,2,8,7
11,7,8,7
11,14,8,7
11,19,8,7
14,4,0,6
17,0,4,2
24,14,7,5
35,6,6,8
35,7,6,8
36,0,5,1
45,0,3,2
59,9,4,5
59,11,4,5
59,18,4,5
64,1,1,6
64,4,1,6
67,1,2,6
67,9,2,6
76,2,9,6
76,14,9,6
76,19,9,6
81,1,2,8
81,5,2,8
81,13,2,8
81,15,2,8
81,16,2,8
93,1,1,7
93,4,1,7
93,15,1,7
93,16,1,7
100,1,3,7
100,17,3,7
104,11,2,3
110,7,7,7
110,14,7,7
111,6,7,8
111,7,7,8
116,2,9,5
116,14,9,5
116,19,9,5
119,5,4,9
119,10,4,9
119,13,4,9
119,17,4,9
184,6,5,9
184,10,5,9
184,17,5,9
191,18,5,4
194,1,1,8
194,3,1,8
194,4,1,8
194,15,1,8
194,16,1,8
209,1,3,8
209,5,3,8
209,10,3,8
209,13,3,8
209,17,3,8
226,2,9,7
226,14,9,7
226,19,9,7
244,17,4,7
250,4,0,7
250,15,0,7
250,16,0,7
291,8,9,1
293,9,4,6
373,3,0,8
373,4,0,8
373,15,0,8
373,16,0,8
383,0,3,1
393,9,2,4
393,11,2,4
402,3,0,9
402,15,0,9
402,16,0,9
415,12,7,2
447,8,8,3
447,12,8,3
461,8,8,1
464,7,8,9
492,1,3,6
492,9,3,6
