step,car_id,hazard_x,hazard_y,sender_id
7,0,6,9,
7,1,6,9,
7,2,6,9,
7,3,6,9,
7,4,6,9,
7,5,6,9,
7,8,6,9,
7,9,6,9,
7,10,6,9,
7,11,6,9,
7,12,6,9,
7,13,6,9,
7,14,6,9,
7,15,6,9,
7,16,6,9,
7,17,6,9,
7,18,6,9,
7,19,6,9,
11,0,8,7,
11,1,8,7,
11,3,8,7,
11,4,8,7,
11,5,8,7,
11,6,8,7,
11,9,8,7,
11,11,8,7,
11,12,8,7,
11,13,8,7,
11,15,8,7,
11,17,8,7,
11,18,8,7,
12,8,8,7,
12,10,8,7,
12,16,8,7,
14,0,0,6,
14,1,0,6,
14,2,0,6,
14,3,0,6,
14,5,0,6,
14,6,0,6,
14,7,0,6,
14,8,0,6,
14,9,0,6,
14,10,0,6,
14,11,0,6,
14,12,0,6,
14,13,0,6,
14,14,0,6,
14,15,0,6,
14,16,0,6,
14,17,0,6,
14,18,0,6,
16,19,0,6,
17,1,4,2,
17,2,4,2,
17,3,4,2,
17,4,4,2,
17,6,4,2,
17,7,4,2,
17,9,4,2,
17,10,4,2,
17,11,4,2,
17,12,4,2,
17,13,4,2,
17,15,4,2,
17,16,4,2,
17,17,4,2,
17,18,4,2,
17,19,4,2,
18,5,4,2,
18,8,4,2,
18,14,4,2,
24,0,7,5,
24,1,7,5,
24,2,7,5,
24,4,7,5,
24,5,7,5,
24,6,7,5,
24,7,7,5,
24,8,7,5,
24,9,7,5,
24,11,7,5,
24,12,7,5,
24,13,7,5,
24,15,7,5,
24,16,7,5,
24,17,7,5,
24,18,7,5,
24,19,7,5,
25,3,7,5,
25,10,7,5,
35,0,6,8,
35,1,6,8,
35,2,6,8,
35,3,6,8,
35,4,6,8,
35,8,6,8,
35,9,6,8,
35,10,6,8,
35,12,6,8,
35,13,6,8,
35,14,6,8,
35,15,6,8,
35,16,6,8,
35,17,6,8,
35,18,6,8,
36,1,5,1,
36,2,5,1,
36,3,5,1,
36,4,5,1,
36,5,6,8,
36,5,5,1,
36,6,5,1,
36,7,5,1,
36,8,5,1,
36,9,5,1,
36,10,5,1,
36,11,6,8,
36,11,5,1,
36,13,5,1,
36,14,5,1,
36,15,5,1,
36,16,5,1,
36,17,5,1,
36,18,5,1,
36,19,6,8,
36,19,5,1,
37,12,5,1,
45,1,3,2,
45,2,3,2,
45,3,3,2,
45,4,3,2,
45,5,3,2,
45,6,3,2,
45,7,3,2,
45,8,3,2,
45,9,3,2,
45,10,3,2,
45,11,3,2,
45,12,3,2,
45,13,3,2,
45,14,3,2,
45,15,3,2,
45,16,3,2,
45,17,3,2,
45,18,3,2,
45,19,3,2,
59,0,4,5,
59,1,4,5,
59,2,4,5,
59,3,4,5,
59,4,4,5,
59,5,4,5,
59,6,4,5,
59,8,4,5,
59,12,4,5,
59,13,4,5,
59,14,4,5,
59,15,4,5,
59,16,4,5,
59,17,4,5,
59,19,4,5,
60,7,4,5,
60,10,4,5,
64,0,1,6,
64,2,1,6,
64,3,1,6,
64,5,1,6,
64,6,1,6,
64,7,1,6,
64,8,1,6,
64,9,1,6,
64,10,1,6,
64,11,1,6,
64,12,1,6,
64,13,1,6,
64,14,1,6,
64,15,1,6,
64,16,1,6,
64,17,1,6,
64,18,1,6,
64,19,1,6,
67,0,2,6,
67,2,2,6,
67,3,2,6,
67,4,2,6,
