step,car_id,hazard_x,hazard_y,confidence
7,0,6,9,0.88
11,1,8,7,0.88
14,2,0,6,0.85
17,2,4,2,0.8
24,1,7,5,0.8
28,0,6,4,0.93
34,0,6,3,0.89
35,0,6,8,0.96
36,0,5,1,0.87
45,0,3,2,0.97
59,0,4,5,0.79
64,0,1,6,0.99
67,0,2,6,0.95
76,1,9,6,0.84
80,2,6,5,0.97
81,1,2,8,0.75
86,0,6,2,0.85
93,0,1,7,0.84
98,0,0,0,0.75
99,0,4,0,0.81
100,1,3,7,0.97
104,0,2,3,0.95
110,0,7,7,0.74
111,0,7,8,0.89
116,0,9,5,0.73
119,1,4,9,0.95
135,0,9,9,0.81
184,0,5,9,0.78
191,0,5,4,0.71
192,0,6,0,0.95
194,0,1,8,0.76
204,1,2,1,0.72
209,0,3,8,0.75
226,2,9,7,0.86
236,0,7,1,0.84
241,1,1,3,0.73
244,0,4,7,0.82
250,0,0,7,0.95
253,0,3,0,0.79
256,0,5,6,0.89
267,1,6,1,0.85
279,0,1,5,0.97
291,2,9,1,0.81
293,0,4,6,0.89
302,0,0,5,0.77
330,2,0,1,0.88
373,0,0,8,0.71
383,2,3,1,0.98
388,0,1,4,0.83
393,0,2,4,0.82
402,1,0,9,0.95
415,1,7,2,0.77
443,0,8,0,0.79
447,1,8,3,0.9
457,1,0,2,0.75
461,0,8,1,0.96
464,0,8,9,0.73
492,0,3,6,0.82
