step,car_id,x,y
2,9,2,5
4,17,1,8
4,18,1,8
12,5,9,5
12,10,9,5
15,5,7,5
15,10,7,5
20,2,4,3
20,4,4,3
20,11,4,3
21,9,0,3
31,13,1,6
31,17,1,6
32,2,6,3
32,4,6,3
32,11,6,3
33,0,6,8
33,6,6,8
33,8,6,8
35,0,5,7
35,8,5,7
40,1,8,8
40,6,8,8
40,14,8,8
62,1,9,9
62,14,9,9
65,0,5,8
65,8,5,8
66,3,3,1
66,16,3,1
80,12,9,1
89,5,8,6
101,2,5,2
101,4,5,2
101,11,5,2
105,17,0,7
107,4,5,4
110,5,9,4
110,10,9,4
110,15,9,4
110,19,9,4
116,3,2,0
116,16,2,0
118,13,0,6
118,17,0,6
125,12,8,1
133,12,8,2
133,15,8,2
133,19,8,2
141,1,9,8
141,14,9,8
146,16,1,2
168,0,7,7
168,8,7,7
169,2,6,2
169,4,6,2
169,11,6,2
172,9,2,3
182,0,6,7
182,8,6,7
185,5,8,4
185,10,8,4
185,15,8,4
185,19,8,4
197,5,8,5
197,10,8,5
204,3,1,0
204,16,1,0
213,9,0,5
213,13,0,5
215,17,1,7
238,2,4,2
238,4,4,2
238,11,4,2
243,2,5,3
243,4,5,3
243,11,5,3
252,18,1,9
257,3,3,0
257,16,3,0
265,18,2,9
270,18,2,8
292,7,6,0
296,2,4,1
296,7,4,1
296,11,4,1
310,10,7,3
310,15,7,3
310,19,7,3
331,0,7,6
331,5,7,6
331,8,7,6
349,9,1,4
349,13,1,4
391,3,2,1
391,16,2,1
404,7,4,0
413,0,7,8
413,1,7,8
413,6,7,8
413,8,7,8
417,16,3,2
463,9,1,3
492,15,7,2
492,19,7,2
495,0,6,6
495,8,6,6
