step,car_id,hazard_x,hazard_y,sender_id
2,0,2,5,
2,1,2,5,
2,2,2,5,
2,3,2,5,
2,4,2,5,
2,5,2,5,
2,6,2,5,
2,7,2,5,
2,8,2,5,
2,10,2,5,
2,11,2,5,
2,12,2,5,
2,13,2,5,
2,14,2,5,
2,15,2,5,
2,16,2,5,
2,17,2,5,
2,18,2,5,
2,19,2,5,
4,0,1,8,
4,1,1,8,
4,3,1,8,
4,4,1,8,
4,5,1,8,
4,6,1,8,
4,7,1,8,
4,8,1,8,
4,9,1,8,
4,10,1,8,
4,12,1,8,
4,13,1,8,
4,14,1,8,
4,15,1,8,
4,16,1,8,
5,2,1,8,
5,11,1,8,
5,19,1,8,
12,0,9,5,
12,3,9,5,
12,4,9,5,
12,6,9,5,
12,7,9,5,
12,8,9,5,
12,9,9,5,
12,11,9,5,
12,12,9,5,
12,13,9,5,
12,14,9,5,
12,15,9,5,
12,16,9,5,
12,17,9,5,
12,19,9,5,
13,1,9,5,
13,2,9,5,
13,18,9,5,
15,0,7,5,
15,1,7,5,
15,2,7,5,
15,3,7,5,
15,4,7,5,
15,7,7,5,
15,8,7,5,
15,9,7,5,
15,11,7,5,
15,12,7,5,
15,14,7,5,
15,16,7,5,
15,17,7,5,
15,18,7,5,
16,6,7,5,
16,13,7,5,
16,19,7,5,
18,15,7,5,
20,0,4,3,
20,1,4,3,
20,3,4,3,
20,5,4,3,
20,7,4,3,
20,8,4,3,
20,9,4,3,
20,10,4,3,
20,12,4,3,
20,13,4,3,
20,14,4,3,
20,15,4,3,
20,16,4,3,
20,17,4,3,
20,18,4,3,
20,19,4,3,
21,0,0,3,
21,1,0,3,
21,2,0,3,
21,3,0,3,
21,4,0,3,
21,5,0,3,
21,6,4,3,
21,6,0,3,
21,7,0,3,
21,8,0,3,
21,11,0,3,
21,13,0,3,
21,14,0,3,
21,15,0,3,
21,16,0,3,
21,18,0,3,
21,19,0,3,
22,10,0,3,
22,12,0,3,
22,17,0,3,
31,0,1,6,
31,1,1,6,
31,2,1,6,
31,3,1,6,
31,4,1,6,
31,5,1,6,
31,6,1,6,
31,7,1,6,
31,8,1,6,
31,9,1,6,
31,10,1,6,
31,11,1,6,
31,12,1,6,
31,14,1,6,
31,15,1,6,
31,18,1,6,
31,19,1,6,
32,0,6,3,
32,1,6,3,
32,3,6,3,
32,5,6,3,
32,7,6,3,
32,8,6,3,
32,9,6,3,
32,10,6,3,
32,12,6,3,
32,13,6,3,
32,14,6,3,
32,16,1,6,
32,16,6,3,
32,18,6,3,
33,1,6,8,
33,2,6,8,
33,3,6,8,
33,4,6,8,
33,5,6,8,
33,6,6,3,
33,9,6,8,
33,10,6,8,
33,11,6,8,
33,12,6,8,
33,13,6,8,
33,14,6,8,
33,15,6,3,
33,16,6,8,
33,17,6,3,
33,18,6,8,
33,19,6,3,
33,19,6,8,
34,7,6,8,
34,17,6,8,
35,1,5,7,
35,2,5,7,
35,3,5,7,
35,5,5,7,
35,6,5,7,
35,7,5,7,
35,9,5,7,
35,10,5,7,
35,11,5,7,
35,12,5,7,
35,13,5,7,
35,14,5,7,
35,15,6,8,
35,15,5,7,
35,16,5,7,
35,17,5,7,
35,18,5,7,
36,4,5,7,
37,19,5,7,
40,0,8,8,
40,2,8,8,
40,3,8,8,
40,4,8,8,
40,5,8,8,
40,7,8,8,
40,8,8,8,
40,9,8,8,
40,10,8,8,
40,11,8,8,
40,12,8,8,
40,13,8,8,
40,15,8,8,
40,16,8,8,
40,17,8,8,
40,18,8,8,
40,19,8,8,
62,0,9,9,
62,2,9,9,
62,3,9,9,
62,4,9,9,
62,5,9,9,
62,6,9,9,
62,7,9,9,
62,9,9,9,
62,11,9,9,
62,12,9,9,
62,13,9,9,
62,15,9,9,
62,16,9,9,
62,17,9,9,
62,19,9,9,
63,8,9,9,
63,10,9,9,
63,18,9,9,
65,1,5,8,
65,3,5,8,
65,4,5,8,
65,5,5,8,
65,7,5,8,
65,9,5,8,
65,10,5,8,
65,12,5,8,
65,13,5,8,
65,14,5,8,
65,15,5,8,
65,16,5,8,
65,18,5,8,
65,19,5,8,
66,0,3,1,
66,1,3,1,
66,2,5,8,
66,2,3,1,
66,4,3,1,
66,5,3,1,
66,6,5,8,
66,6,3,1,
66,7,3,1,
66,9,3,1,
66,10,3,1,
66,11,5,8,
66,11,3,1,
66,12,3,1,
66,14,3,1,
66,15,3,1,
66,17,5,8,
66,17,3,1,
66,18,3,1,
