step,car_id,hazard_x,hazard_y,confidence
2,0,2,5,0.85
4,0,1,8,0.78
7,0,0,2,0.85
12,1,9,5,0.75
15,1,7,5,0.71
20,1,4,3,0.72
21,0,0,3,0.84
31,0,1,6,0.86
32,0,6,3,0.93
33,0,6,8,0.9
35,0,5,7,0.98
37,0,3,6,0.97
40,0,8,8,0.92
49,0,9,0,0.84
60,1,7,0,0.93
62,0,9,9,0.78
65,0,5,8,0.78
66,0,3,1,0.89
80,0,9,1,0.79
89,1,8,6,0.88
101,0,5,2,0.82
102,0,7,1,0.91
105,2,0,7,0.94
107,0,5,4,0.98
110,1,9,4,0.75
116,1,2,0,0.98
118,0,0,6,0.86
125,2,8,1,0.9
133,0,8,2,0.84
137,3,4,8,0.83
141,0,9,8,0.94
146,1,1,2,0.81
147,0,4,5,0.92
160,2,2,7,0.76
168,1,7,7,0.74
169,0,6,2,0.82
172,2,2,3,0.77
182,0,6,7,0.95
185,1,8,4,0.72
197,0,8,5,0.88
200,1,6,5,0.88
203,0,5,5,0.82
204,1,1,0,0.93
213,0,0,5,0.83
215,0,1,7,0.83
238,0,4,2,0.72
243,1,5,3,0.75
252,0,1,9,0.73
257,1,3,0,0.91
265,0,2,9,0.93
270,1,2,8,0.81
292,2,6,0,0.99
296,1,4,1,0.9
310,0,7,3,0.71
313,0,0,0,0.91
331,0,7,6,0.89
342,1,3,3,0.81
349,3,1,4,0.97
391,0,2,1,0.84
404,0,4,0,0.8
413,0,7,8,0.78
417,1,3,2,0.81
418,0,3,4,0.85
422,0,4,7,0.87
463,1,1,3,0.98
492,0,7,2,0.83
495,0,6,6,0.71
