step,car_id,x,y
1,10,9,1
1,15,9,1
5,2,1,6
5,5,1,6
10,7,5,5
20,11,3,0
20,14,3,0
24,7,4,6
24,17,4,6
26,2,1,8
26,5,1,8
26,9,1,8
36,4,9,4
36,13,9,4
41,14,1,0
41,18,1,0
43,0,6,2
48,3,7,8
48,19,7,8
57,7,5,6
57,17,5,6
60,4,9,2
60,15,9,2
73,0,4,4
75,7,5,7
75,17,5,7
79,10,8,1
79,15,8,1
82,2,2,7
85,6,7,5
85,13,7,5
90,3,6,8
90,19,6,8
95,5,0,6
105,5,0,8
105,9,0,8
106,0,5,4
112,0,6,4
112,6,6,4
115,9,1,9
117,1,1,1
117,14,1,1
117,18,1,1
119,2,3,7
119,17,3,7
135,7,4,5
136,11,3,1
136,12,3,1
136,14,3,1
145,0,4,2
145,11,4,2
145,12,4,2
175,2,1,7
175,5,1,7
182,8,6,0
185,8,4,1
185,11,4,1
185,12,4,1
187,6,8,5
187,13,8,5
187,16,8,5
194,8,5,0
201,4,7,4
201,6,7,4
201,13,7,4
216,16,9,7
226,2,3,8
226,17,3,8
236,10,9,0
239,9,0,9
244,1,1,2
244,18,1,2
268,1,0,3
270,8,4,0
270,11,4,0
278,4,8,4
278,6,8,4
278,13,8,4
287,3,8,9
304,13,9,6
304,16,9,6
344,3,8,8
344,19,8,8
346,1,2,2
346,11,2,2
346,12,2,2
364,0,5,2
370,2,2,6
377,4,7,2
377,15,7,2
393,15,7,1
407,17,5,8
418,13,9,5
418,16,9,5
429,7,4,7
429,17,4,7
457,6,8,6
457,13,8,6
457,16,8,6
457,19,8,6
461,4,8,3
461,15,8,3
469,1,0,1
469,18,0,1
