step,car_id,hazard_x,hazard_y,sender_id
1,0,9,1,
1,1,9,1,
1,2,9,1,
1,3,9,1,
1,4,9,1,
1,5,9,1,
1,6,9,1,
1,7,9,1,
1,8,9,1,
1,9,9,1,
1,11,9,1,
1,12,9,1,
1,14,9,1,
1,16,9,1,
1,17,9,1,
1,19,9,1,
2,18,9,1,
3,13,9,1,
5,0,1,6,
5,3,1,6,
5,4,1,6,
5,6,1,6,
5,7,1,6,
5,8,1,6,
5,9,1,6,
5,10,1,6,
5,12,1,6,
5,13,1,6,
5,14,1,6,
5,15,1,6,
5,16,1,6,
5,17,1,6,
5,18,1,6,
5,19,1,6,
6,1,1,6,
6,11,1,6,
10,0,5,5,
10,1,5,5,
10,2,5,5,
10,4,5,5,
10,5,5,5,
10,8,5,5,
10,11,5,5,
10,13,5,5,
10,14,5,5,
10,15,5,5,
10,16,5,5,
10,17,5,5,
10,18,5,5,
10,19,5,5,
11,3,5,5,
11,6,5,5,
11,9,5,5,
11,10,5,5,
11,12,5,5,
20,0,3,0,
20,1,3,0,
20,2,3,0,
20,3,3,0,
20,4,3,0,
20,5,3,0,
20,6,3,0,
20,7,3,0,
20,8,3,0,
20,9,3,0,
20,10,3,0,
20,12,3,0,
20,13,3,0,
20,15,3,0,
20,17,3,0,
20,18,3,0,
20,19,3,0,
21,16,3,0,
24,0,4,6,
24,1,4,6,
24,2,4,6,
24,3,4,6,
24,4,4,6,
24,5,4,6,
24,9,4,6,
24,10,4,6,
24,11,4,6,
24,12,4,6,
24,13,4,6,
24,14,4,6,
24,15,4,6,
24,16,4,6,
24,18,4,6,
24,19,4,6,
25,6,4,6,
25,8,4,6,
26,0,1,8,
26,1,1,8,
26,3,1,8,
26,4,1,8,
26,6,1,8,
26,7,1,8,
26,10,1,8,
26,11,1,8,
26,12,1,8,
26,13,1,8,
26,14,1,8,
26,15,1,8,
26,16,1,8,
26,17,1,8,
26,18,1,8,
26,19,1,8,
27,8,1,8,
36,0,9,4,
36,1,9,4,
36,2,9,4,
36,3,9,4,
36,5,9,4,
36,6,9,4,
36,7,9,4,
36,8,9,4,
36,9,9,4,
36,10,9,4,
36,12,9,4,
36,15,9,4,
36,17,9,4,
36,18,9,4,
36,19,9,4,
37,14,9,4,
37,16,9,4,
38,11,9,4,
41,0,1,0,
41,1,1,0,
41,2,1,0,
41,3,1,0,
41,4,1,0,
41,5,1,0,
41,6,1,0,
41,7,1,0,
41,8,1,0,
41,9,1,0,
41,10,1,0,
41,11,1,0,
41,12,1,0,
41,13,1,0,
41,15,1,0,
41,16,1,0,
41,17,1,0,
41,19,1,0,
43,1,6,2,
43,2,6,2,
43,4,6,2,
43,5,6,2,
43,6,6,2,
43,7,6,2,
43,8,6,2,
43,9,6,2,
43,10,6,2,
43,11,6,2,
43,12,6,2,
43,13,6,2,
43,14,6,2,
43,15,6,2,
43,16,6,2,
43,17,6,2,
43,18,6,2,
43,19,6,2,
44,3,6,2,
48,0,7,8,
48,1,7,8,
48,2,7,8,
48,4,7,8,
48,6,7,8,
48,7,7,8,
48,8,7,8,
48,9,7,8,
48,10,7,8,
48,12,7,8,
48,13,7,8,
48,14,7,8,
48,15,7,8,
48,16,7,8,
48,18,7,8,
49,5,7,8,
49,11,7,8,
49,17,7,8,
57,0,5,6,
57,1,5,6,
57,2,5,6,
57,3,5,6,
57,4,5,6,
57,5,5,6,
57,6,5,6,
57,8,5,6,
57,9,5,6,
57,10,5,6,
57,11,5,6,
57,12,5,6,
57,13,5,6,
57,14,5,6,
57,16,5,6,
57,18,5,6,
58,15,5,6,
58,19,5,6,
60,0,9,2,
60,1,9,2,
60,2,9,2,
60,3,9,2,
60,5,9,2,
60,6,9,2,
60,7,9,2,
60,8,9,2,
60,9,9,2,
60,10,9,2,
60,11,9,2,
60,12,9,2,
60,14,9,2,
60,16,9,2,
60,17,9,2,
60,18,9,2,
60,19,9,2,
61,13,9,2,
73,1,4,4,
73,2,4,4,
73,3,4,4,
73,4,4,4,
73,5,4,4,
73,6,4,4,
73,7,4,4,
73,8,4,4,
73,9,4,4,
73,10,4,4,
73,12,4,4,
73,13,4,4,
73,15,4,4,
73,16,4,4,
73,17,4,4,
73,18,4,4,
73,19,4,4,
74,11,4,4,
74,14,4,4,
75,1,5,7,
75,2,5,7,
75,3,5,7,
75,4,5,7,
75,5,5,7,
75,6,5,7,
75,8,5,7,
75,9,5,7,
75,10,5,7,
75,11,5,7,
75,12,5,7,
75,13,5,7,
75,14,5,7,
75,15,5,7,
75,16,5,7,
75,18,5,7,
75,19,5,7,
76,0,5,7,
79,1,8,1,
79,2,8,1,
79,3,8,1,
79,4,8,1,
79,5,8,1,
79,6,8,1,
79,7,8,1,
79,8,8,1,
79,9,8,1,
79,11,8,1,
79,12,8,1,
79,13,8,1,
79,14,8,1,
79,16,8,1,
79,17,8,1,
79,18,8,1,
79,19,8,1,
80,0,8,1,
82,0,2,7,
82,1,2,7,
82,3,2,7,
82,4,2,7,
82,5,2,7,
82,6,2,7,
82,7,2,7,
82,8,2,7,
82,9,2,7,
82,10,2,7,
82,11,2,7,
82,12,2,7,
82,13,2,7,
82,14,2,7,
82,15,2,7,
82,16,2,7,
82,17,2,7,
82,18,2,7,
82,19,2,7,
85,0,7,5,
85,1,7,5,
85,3,7,5,
85,4,7,5,
85,5,7,5,
85,7,7,5,
85,8,7,5,
85,9,7,5,
85,10,7,5,
85,11,7,5,
85,12,7,5,
85,14,7,5,
85,17,7,5,
85,18,7,5,
85,19,7,5,
86,2,7,5,
86,15,7,5,
86,16,7,5,
90,0,6,8,
90,1,6,8,
90,2,6,8,
90,4,6,8,
90,5,6,8,
90,6,6,8,
90,7,6,8,
90,8,6,8,
90,9,6,8,
90,11,6,8,
90,13,6,8,
90,14,6,8,
90,15,6,8,
90,16,6,8,
90,17,6,8,
90,18,6,8,
91,10,6,8,
91,12,6,8,
95,1,0,6,
95,2,0,6,
95,3,0,6,
95,4,0,6,
95,6,0,6,
95,7,0,6,
95,8,0,6,
95,9,0,6,
95,10,0,6,
95,11,0,6,
95,12,0,6,
95,14,0,6,
95,15,0,6,
95,17,0,6,
95,18,0,6,
95,19,0,6,
96,0,0,6,
96,13,0,6,
96,16,0,6,
105,0,0,8,
105,1,0,8,
105,2,0,8,
105,3,0,8,
105,4,0,8,
105,6,0,8,
105,7,0,8,
105,8,0,8,
105,10,0,8,
